#
# This is a file in tecplot ASCII format
#
TITLE="JavaFoil Velocity Field for NLR-7301 AIRFOIL"
VARIABLES=x	y	vx	vy	v	Cp
DATASETAUXDATA Mach = "0"
DATASETAUXDATA alfa = "11.06"
#
ZONE T='Velocity', I=31, J=61

-0.050000000000000044	-0.2816055625790139	0.7625263786628685	0.24143692394693883	0.7998363997728962	0.3602617335983317
-0.050000000000000044	-0.2628318584070797	0.7512718097914344	0.24601507788222768	0.7905268817267985	0.3750672492673043
-0.050000000000000044	-0.24405815423514543	0.7387574286556364	0.25148261699062063	0.7803883937132451	0.3909939549576612
-0.050000000000000044	-0.22528445006321118	0.7247772930475109	0.2580862667608179	0.7693572938549511	0.4080893543921864
-0.050000000000000044	-0.20651074589127694	0.7090852604161606	0.26616270478211246	0.757393221488273	0.42635550804361577
-0.050000000000000044	-0.1877370417193427	0.6913899555795675	0.27618041779053903	0.7445103718869691	0.44570430615272694
-0.050000000000000044	-0.16896333754740844	0.671355051843096	0.2888052076111692	0.7308392802652144	0.46587394642142343
-0.050000000000000044	-0.1501896333754742	0.6486153535126145	0.30500425483385857	0.7167492394687637	0.4862705277209488
-0.050000000000000044	-0.13141592920353995	0.6228346192853631	0.3262121531887102	0.7030912685194987	0.5056626681316423
-0.050000000000000044	-0.11264222503160569	0.5938682624075622	0.354590207839924	0.6916745828718428	0.5215862714090622
-0.050000000000000044	-0.09386852085967143	0.5621799156898488	0.3933967271651371	0.6861539495982566	0.5291927574507131
-0.050000000000000044	-0.07509481668773717	0.5298326213497154	0.4473638851334439	0.6934385714452291	0.5191429476319999
-0.050000000000000044	-0.05632111251580291	0.5025656959160999	0.5224741781570661	0.724949339990413	0.47444845444746453
-0.050000000000000044	-0.037547408343868646	0.492928360266945	0.6232374400324376	0.7946088817862819	0.36859672498635476
-0.050000000000000044	-0.018773704171934386	0.5210040960902078	0.7447885960184653	0.9089308669540996	0.17384467909806878
-0.050000000000000044	-1.249000902703301E-16	0.6043517283089794	0.8633885496903748	1.0538884187837436	-0.11068079924649932
-0.050000000000000044	0.018773704171934136	0.7372463770951438	0.9419822506507485	1.1961867668056543	-0.43086278108096465
-0.050000000000000044	0.037547408343868396	0.8855420530898964	0.9586830553698176	1.3050892415631499	-0.7032579284438778
-0.050000000000000044	0.05632111251580266	1.0136957147599444	0.9230082045761363	1.3709570189606737	-0.8795231478375369
