#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00242  0.82876  0.012043  0.004705  0.000272     2.560
   0.00918  0.99138  0.00557  0.83718  0.010781  0.004494  0.000380     2.399
   0.02407  0.97737  0.01061  0.85623  0.008775  0.004077  0.000632     2.152
   0.04030  0.96206  0.01600  0.88103  0.007107  0.003623  0.000959     1.961
   0.05780  0.94550  0.02167  0.90995  0.005787  0.003184  0.001349     1.818
   0.07643  0.92783  0.02756  0.94031  0.004797  0.002798  0.001769     1.715
   0.09599  0.90922  0.03358  0.96999  0.004063  0.002475  0.002192     1.641
   0.11630  0.88984  0.03966  0.99783  0.003513  0.002211  0.002600     1.589
   0.13716  0.86988  0.04571  1.02338  0.003091  0.001993  0.002986     1.551
   0.15843  0.84947  0.05168  1.04676  0.002756  0.001810  0.003351     1.523
   0.17997  0.82873  0.05753  1.06817  0.002481  0.001653  0.003700     1.501
   0.20170  0.80777  0.06322  1.08779  0.002249  0.001516  0.004033     1.484
   0.22353  0.78664  0.06874  1.10598  0.002049  0.001394  0.004357     1.470
   0.24543  0.76539  0.07405  1.12278  0.001874  0.001284  0.004670     1.459
   0.26735  0.74408  0.07916  1.13839  0.001718  0.001184  0.004971     1.451
   0.28926  0.72272  0.08404  1.15288  0.001579  0.001092  0.005251     1.446
   0.31115  0.70133  0.08869  1.16617  0.001457  0.001007  0.005485     1.447
   0.33300  0.67993  0.09311  1.17829  0.001353  0.000928  0.005626     1.458
   0.35482  0.65852  0.09730  1.18901  0.001275  0.000856  0.005566     1.489
   0.37660  0.63709  0.10124  1.19823  0.001242  0.000793  0.005087     1.566
   0.39837  0.61564  0.10493  1.20679  0.001300  0.000740  0.003838     1.757
   0.42018  0.59411  0.10839  1.22092  0.001550  0.000687  0.001742     2.258
   0.44202  0.57250  0.11163  1.25925  0.002017  0.000586  0.000195     3.443
   0.46382  0.55091  0.11466  1.26686  0.002118  0.000566  0.000036     3.744
   0.48551  0.52941  0.11746  1.27316  0.002078  0.000549  0.000020     3.782
   0.50703  0.50804  0.12001  1.28004  0.001974  0.000532  0.000058     3.706
   0.52834  0.48686  0.12231  1.28749  0.001842  0.000515  0.000133     3.579
   0.54940  0.46589  0.12434  1.29552  0.001707  0.000496  0.000240     3.439
   0.57020  0.44517  0.12610  1.30405  0.001577  0.000477  0.000371     3.305
   0.59069  0.42473  0.12758  1.31290  0.001459  0.000458  0.000520     3.186
   0.61086  0.40459  0.12877  1.32183  0.001354  0.000439  0.000680     3.085
   0.63069  0.38479  0.12967  1.33066  0.001260  0.000420  0.000848     2.999
   0.65014  0.36534  0.13027  1.33925  0.001176  0.000402  0.001023     2.927
   0.66921  0.34628  0.13058  1.34746  0.001101  0.000384  0.001203     2.864
   0.68785  0.32764  0.13059  1.35519  0.001032  0.000367  0.001391     2.810
   0.70606  0.30943  0.13030  1.36232  0.000970  0.000351  0.001583     2.763
   0.72379  0.29171  0.12972  1.36875  0.000913  0.000335  0.001777     2.723
   0.74104  0.27449  0.12886  1.37456  0.000860  0.000320  0.001988     2.684
   0.75776  0.25780  0.12771  1.37938  0.000812  0.000306  0.002191     2.654
   0.77394  0.24169  0.12630  1.38347  0.000766  0.000292  0.002414     2.623
   0.78955  0.22617  0.12464  1.38648  0.000725  0.000279  0.002634     2.598
   0.80456  0.21127  0.12273  1.38853  0.000686  0.000266  0.002864     2.574
   0.81896  0.19703  0.12061  1.38949  0.000650  0.000254  0.003096     2.553
   0.83274  0.18344  0.11830  1.38937  0.000616  0.000243  0.003335     2.534
   0.84589  0.17054  0.11581  1.38815  0.000584  0.000232  0.003584     2.516
   0.85839  0.15831  0.11316  1.38568  0.000555  0.000222  0.003828     2.500
   0.87027  0.14676  0.11039  1.38212  0.000527  0.000212  0.004082     2.485
   0.88153  0.13588  0.10752  1.37735  0.000502  0.000203  0.004336     2.472
   0.89218  0.12565  0.10456  1.37141  0.000478  0.000194  0.004593     2.460
   0.90225  0.11605  0.10153  1.36436  0.000455  0.000186  0.004864     2.447
   0.91176  0.10705  0.09845  1.35597  0.000434  0.000178  0.005121     2.437
   0.92074  0.09862  0.09534  1.34648  0.000414  0.000171  0.005387     2.427
   0.92923  0.09073  0.09220  1.33580  0.000395  0.000163  0.005666     2.416
   0.93725  0.08336  0.08905  1.32371  0.000377  0.000157  0.005924     2.408
   0.94484  0.07646  0.08589  1.31049  0.000360  0.000150  0.006199     2.398
   0.95202  0.07002  0.08272  1.29592  0.000344  0.000144  0.006476     2.389
   0.95882  0.06399  0.07956  1.27987  0.000329  0.000138  0.006745     2.381
   0.96528  0.05835  0.07641  1.26239  0.000314  0.000133  0.007018     2.372
   0.97143  0.05308  0.07326  1.24331  0.000301  0.000127  0.007278     2.365
   0.97727  0.04815  0.07012  1.22266  0.000288  0.000122  0.007558     2.355
   0.98284  0.04353  0.06699  1.20000  0.000276  0.000117  0.007779     2.350
