#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.98817  0.03923  0.06387  1.17582  0.000263  0.000112  0.008076     2.339
   0.99326  0.03520  0.06075  1.14903  0.000252  0.000108  0.008272     2.334
   0.99814  0.03144  0.05764  1.12037  0.000241  0.000104  0.008502     2.325
   1.00282  0.02794  0.05453  1.08914  0.000231  0.000100  0.008704     2.316
   1.00732  0.02467  0.05143  1.05519  0.000221  0.000096  0.008847     2.310
   1.01166  0.02164  0.04833  1.01863  0.000212  0.000092  0.008979     2.302
   1.01584  0.01884  0.04523  0.97895  0.000203  0.000089  0.009093     2.293
   1.01988  0.01625  0.04213  0.93577  0.000195  0.000085  0.009071     2.288
   1.02379  0.01386  0.03903  0.88970  0.000188  0.000082  0.009039     2.281
   1.02758  0.01168  0.03593  0.83997  0.000181  0.000079  0.008947     2.273
   1.03126  0.00970  0.03283  0.78637  0.000174  0.000077  0.008731     2.266
   1.03483  0.00792  0.02974  0.72945  0.000168  0.000074  0.008391     2.264
   1.03831  0.00633  0.02664  0.66888  0.000162  0.000072  0.008086     2.251
   1.04170  0.00492  0.02356  0.60408  0.000159  0.000070  0.007466     2.252
   1.04501  0.00370  0.02048  0.53699  0.000154  0.000069  0.006895     2.243
   1.04824  0.00267  0.01742  0.46658  0.000151  0.000067  0.006120     2.243
   1.05141  0.00181  0.01437  0.39369  0.000147  0.000066  0.005333     2.234
   1.05451  0.00112  0.01135  0.31869  0.000146  0.000065  0.004347     2.237
   1.05755  0.00061  0.00835  0.24296  0.000143  0.000064  0.003395     2.231
   1.06053  0.00025  0.00539  0.16603  0.000142  0.000064  0.002332     2.233
   1.06346  0.00005  0.00247  0.08874  0.000140  0.000063  0.001268     2.229
   1.06634  0.00000 -0.00041  0.01190  0.000141  0.000063  0.000168     2.230
   1.06922  0.00009 -0.00329 -0.06430  0.000141  0.000063  0.000910     2.230
   1.07215  0.00034 -0.00621 -0.14384  0.000139  0.000062  0.002084     2.225
   1.07513  0.00074 -0.00916 -0.22373  0.000141  0.000063  0.003161     2.237
   1.07814  0.00132 -0.01212 -0.30389  0.000140  0.000063  0.004336     2.227
   1.08121  0.00207 -0.01509 -0.38295  0.000143  0.000064  0.005299     2.240
   1.08433  0.00300 -0.01807 -0.46113  0.000144  0.000065  0.006374     2.233
   1.08751  0.00412 -0.02105 -0.53691  0.000148  0.000066  0.007161     2.245
   1.09075  0.00543 -0.02401 -0.60954  0.000151  0.000067  0.007947     2.246
   1.09406  0.00694 -0.02696 -0.67847  0.000156  0.000069  0.008514     2.254
   1.09744  0.00864 -0.02988 -0.74360  0.000161  0.000071  0.009019     2.258
   1.10091  0.01054 -0.03278 -0.80428  0.000167  0.000074  0.009324     2.267
   1.10447  0.01264 -0.03565 -0.86055  0.000173  0.000076  0.009546     2.274
   1.10812  0.01494 -0.03849 -0.91204  0.000181  0.000079  0.009603     2.284
   1.11188  0.01744 -0.04130 -0.95944  0.000188  0.000082  0.009634     2.290
   1.11575  0.02015 -0.04407 -1.00227  0.000197  0.000086  0.009499     2.302
   1.11976  0.02307 -0.04680 -1.04077  0.000207  0.000090  0.009308     2.312
   1.12390  0.02621 -0.04950 -1.07595  0.000217  0.000093  0.009134     2.319
   1.12819  0.02958 -0.05217 -1.10730  0.000228  0.000098  0.008834     2.332
   1.13264  0.03317 -0.05480 -1.13585  0.000239  0.000102  0.008585     2.339
   1.13728  0.03701 -0.05739 -1.16078  0.000252  0.000107  0.008200     2.354
   1.14210  0.04110 -0.05996 -1.18331  0.000265  0.000112  0.007896     2.362
   1.14715  0.04546 -0.06249 -1.20331  0.000278  0.000117  0.007548     2.373
   1.15242  0.05011 -0.06499 -1.22081  0.000293  0.000123  0.007176     2.386
   1.15795  0.05506 -0.06746 -1.23638  0.000309  0.000129  0.006836     2.397
   1.16376  0.06033 -0.06990 -1.24991  0.000325  0.000135  0.006478     2.409
   1.16988  0.06595 -0.07230 -1.26199  0.000342  0.000141  0.006160     2.419
   1.17632  0.07194 -0.07467 -1.27195  0.000361  0.000148  0.005782     2.435
   1.18313  0.07834 -0.07700 -1.28067  0.000380  0.000155  0.005465     2.446
   1.19034  0.08518 -0.07929 -1.28778  0.000401  0.000163  0.005127     2.461
   1.19799  0.09249 -0.08154 -1.29367  0.000423  0.000171  0.004817     2.474
   1.20610  0.10030 -0.08372 -1.29814  0.000447  0.000180  0.004497     2.490
   1.21473  0.10867 -0.08585 -1.30134  0.000473  0.000189  0.004188     2.507
   1.22392  0.11763 -0.08790 -1.30333  0.000500  0.000198  0.003890     2.524
   1.23371  0.12721 -0.08986 -1.30424  0.000530  0.000208  0.003608     2.542
   1.24414  0.13748 -0.09173 -1.30384  0.000562  0.000219  0.003316     2.564
   1.25525  0.14845 -0.09347 -1.30241  0.000597  0.000231  0.003046     2.586
   1.26709  0.16017 -0.09508 -1.29984  0.000635  0.000243  0.002778     2.611
   1.27967  0.17267 -0.09653 -1.29611  0.000677  0.000256  0.002513     2.639
   1.29303  0.18597 -0.09780 -1.29152  0.000721  0.000270  0.002271     2.668
   1.30717  0.20008 -0.09886 -1.28578  0.000771  0.000285  0.002022     2.704
   1.32211  0.21499 -0.09971 -1.27915  0.000826  0.000301  0.001788     2.744
   1.33783  0.23070 -0.10031 -1.27167  0.000886  0.000318  0.001562     2.789
   1.35433  0.24719 -0.10065 -1.26335  0.000954  0.000335  0.001340     2.843
   1.37157  0.26444 -0.10072 -1.25436  0.001029  0.000354  0.001129     2.906
   1.38953  0.28240 -0.10050 -1.24481  0.001114  0.000374  0.000924     2.981
   1.40818  0.30103 -0.10000 -1.23480  0.001211  0.000394  0.000726     3.072
   1.42747  0.32031 -0.09920 -1.22460  0.001323  0.000416  0.000539     3.182
   1.44737  0.34018 -0.09812 -1.21441  0.001451  0.000437  0.000364     3.318
   1.46784  0.36060 -0.09674 -1.20457  0.001596  0.000459  0.000211     3.478
   1.48884  0.38154 -0.09509 -1.19534  0.001754  0.000480  0.000089     3.653
   1.51034  0.40296 -0.09317 -1.18685  0.001908  0.000500  0.000008     3.813
   1.53232  0.42482 -0.09098 -1.17905  0.002027  0.000520 -0.000025     3.898
   1.55473  0.44710 -0.08855 -1.17186  0.002049  0.000539  0.000012     3.801
   1.57755  0.46976 -0.08587 -1.14607  0.001766  0.000609  0.000607     2.899
   1.60077  0.49280 -0.08297 -1.11610  0.001383  0.000698  0.002375     1.981
   1.62436  0.51618 -0.07985 -1.10319  0.001249  0.000760  0.003961     1.643
   1.64833  0.53992 -0.07652 -1.09296  0.001258  0.000830  0.004674     1.516
   1.67269  0.56402 -0.07299 -1.08199  0.001334  0.000909  0.004829     1.468
   1.69748  0.58853 -0.06926 -1.06984  0.001448  0.000997  0.004723     1.452
   1.72278  0.61353 -0.06533 -1.05567  0.001591  0.001097  0.004487     1.450
   1.74860  0.63902 -0.06127 -1.04305  0.001736  0.001196  0.004269     1.452
   1.77477  0.66487 -0.05713 -1.03104  0.001886  0.001297  0.004061     1.455
   1.80121  0.69097 -0.05293 -1.01945  0.002041  0.001399  0.003865     1.459
   1.82780  0.71722 -0.04869 -1.00807  0.002201  0.001504  0.003681     1.463
   1.85447  0.74355 -0.04443 -0.99690  0.002366  0.001612  0.003508     1.468
   1.88112  0.76986 -0.04017 -0.98574  0.002538  0.001724  0.003344     1.473
   1.90765  0.79605 -0.03592 -0.97446  0.002720  0.001840  0.003185     1.478
   1.93392  0.82197 -0.03171 -0.96291  0.002914  0.001962  0.003027     1.485
   1.95974  0.84746 -0.02757 -0.95088  0.003124  0.002093  0.002867     1.493
   1.98488  0.87227 -0.02353 -0.93818  0.003358  0.002234  0.002700     1.503
   2.00903  0.89611 -0.01963 -0.92454  0.003623  0.002389  0.002523     1.517
   2.03186  0.91864 -0.01594 -0.90977  0.003933  0.002562  0.002331     1.535
   2.05305  0.93954 -0.01250 -0.89373  0.004303  0.002759  0.002122     1.560
   2.07236  0.95860 -0.00935 -0.87621  0.004759  0.002987  0.001893     1.593
   2.08969  0.97569 -0.00650 -0.85773  0.005317  0.003248  0.001652     1.637
   2.10508  0.99087 -0.00395 -0.83741  0.006058  0.003563  0.001386     1.700
   2.11434  1.00000 -0.00242 -0.82876  0.006409  0.003712  0.001286     1.726
   2.11434  1.00010 -0.00001  0.82876  0.023099  0.008417  0.000000     2.744
   2.12356  1.00928 -0.00086  0.81880  0.021333  0.008895  0.000000     2.398
   2.13409  1.01978 -0.00167  0.82322  0.018963  0.008692  0.000000     2.182
   2.14613  1.03179 -0.00252  0.83149  0.016686  0.008344  0.000000     2.000
   2.15989  1.04551 -0.00344  0.84244  0.014617  0.007926  0.000000     1.844
   2.17561  1.06120 -0.00443  0.85540  0.012822  0.007482  0.000000     1.714
   2.19357  1.07913 -0.00549  0.86940  0.011320  0.007050  0.000000     1.606
   2.21410  1.09963 -0.00664  0.88350  0.010096  0.006658  0.000000     1.516
   2.23756  1.12306 -0.00786  0.89700  0.009108  0.006316  0.000000     1.442
   2.26437  1.14984 -0.00918  0.90948  0.008311  0.006025  0.000000     1.379
   2.29501  1.18045 -0.01059  0.92080  0.007664  0.005780  0.000000     1.326
   2.33003  1.21543 -0.01211  0.93098  0.007132  0.005574  0.000000     1.279
   2.37004  1.25541 -0.01372  0.94008  0.006691  0.005400  0.000000     1.239
   2.41577  1.30110 -0.01544  0.94820  0.006322  0.005253  0.000000     1.204
   2.46802  1.35333 -0.01727  0.95542  0.006013  0.005127  0.000000     1.173
   2.52774  1.41301 -0.01921  0.96181  0.005753  0.005020  0.000000     1.146
   2.59598  1.48122 -0.02125  0.96747  0.005534  0.004929  0.000000     1.123
   2.67397  1.55918 -0.02342  0.97244  0.005352  0.004851  0.000000     1.103
   2.76309  1.64828 -0.02569  0.97678  0.005199  0.004784  0.000000     1.087
   2.86494  1.75010 -0.02807  0.98055  0.005073  0.004728  0.000000     1.073
   2.98133  1.86646 -0.03056  0.98379  0.004968  0.004680  0.000000     1.062
   3.11434  1.99944 -0.03316  0.98681  0.004878  0.004637  0.000000     1.052
