#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.21410  1.09969 -0.00565  0.87625  0.013816  0.007812  0.000000     1.769
   2.23756  1.12313 -0.00648  0.88837  0.012053  0.007425  0.000000     1.623
   2.26437  1.14993 -0.00729  0.90096  0.010651  0.007062  0.000000     1.508
   2.29501  1.18056 -0.00806  0.91306  0.009551  0.006743  0.000000     1.416
   2.33003  1.21557 -0.00877  0.92420  0.008686  0.006472  0.000000     1.342
   2.37004  1.25558 -0.00939  0.93420  0.008002  0.006245  0.000000     1.281
   2.41577  1.30130 -0.00988  0.94310  0.007454  0.006056  0.000000     1.231
   2.46802  1.35356 -0.01018  0.95098  0.007011  0.005896  0.000000     1.189
   2.52774  1.41327 -0.01026  0.95794  0.006651  0.005761  0.000000     1.154
   2.59598  1.48152 -0.01003  0.96406  0.006358  0.005647  0.000000     1.126
   2.67397  1.55950 -0.00942  0.96944  0.006120  0.005550  0.000000     1.103
   2.76309  1.64862 -0.00833  0.97414  0.005926  0.005468  0.000000     1.084
   2.86494  1.75045 -0.00666  0.97822  0.005769  0.005398  0.000000     1.069
   2.98133  1.86682 -0.00427  0.98174  0.005641  0.005339  0.000000     1.057
   3.11434  1.99979 -0.00102  0.98507  0.005532  0.005284  0.000000     1.047
